review,sentiment,label
"Dịch vụ xuất sắc, nhân viên thân thiện",positive,2
"Dịch vụ tệ, không bao giờ mua nữa",negative,0
"Hàng đẹp, giao nhanh, đóng gói kỹ",positive,2
"Tạm được, giá hơi cao",neutral,1
"Tệ, hàng nhái, không nên mua",negative,0
"Trải nghiệm tuyệt vời, sẽ giới thiệu bạn bè",positive,2
Rất thất vọng với chất lượng sản phẩm,negative,0
"Sản phẩm rất tốt, tôi rất hài lòng",positive,2
"Không hài lòng, hàng bị hỏng",negative,0
"Rất thích, shop phục vụ nhiệt tình",positive,2
"Không hài lòng, hàng bị hỏng",negative,0
"Sản phẩm rất tốt, tôi rất hài lòng",positive,2
"Rất thích, shop phục vụ nhiệt tình",positive,2
"Bình thường, chưa có gì đặc biệt",neutral,1
"Thất vọng, không đáng tiền",negative,0
"Nhận được hàng rồi, đang dùng thử",neutral,1
"Dịch vụ tệ, không bao giờ mua nữa",negative,0
"Rất tệ, giao hàng lâu, hàng lỗi",negative,0
"Sản phẩm kém chất lượng, không như quảng cáo",negative,0
"Tệ, hàng nhái, không nên mua",negative,0
"Sản phẩm rất tốt, tôi rất hài lòng",positive,2
Giao hàng nhanh và đóng gói cẩn thận,positive,2
"Rất tệ, giao hàng lâu, hàng lỗi",negative,0
"Sản phẩm đúng mô tả, đẹp hơn hình",positive,2
"Hàng đẹp, giao nhanh, đóng gói kỹ",positive,2
"Vừa vừa thôi, không xuất sắc lắm",neutral,1
Đóng gói tốt nhưng sản phẩm chưa dùng,neutral,1
"Không tốt cũng không tệ, trung bình",neutral,1
"Tạm được, giá hơi cao",neutral,1
Chất lượng tạm ổn với mức giá này,neutral,1
"Thất vọng, không đáng tiền",negative,0
"Sản phẩm rất tốt, tôi rất hài lòng",positive,2
"Dịch vụ tệ, không bao giờ mua nữa",negative,0
Đóng gói tốt nhưng sản phẩm chưa dùng,neutral,1
"Vừa vừa thôi, không xuất sắc lắm",neutral,1
"Giá cả hợp lý, chất lượng tuyệt vời",positive,2
"Tạm được, giá hơi cao",neutral,1
"Sản phẩm đúng mô tả, đẹp hơn hình",positive,2
"Tạm được, giá hơi cao",neutral,1
