review,sentiment,label,review_cleaned
"Dịch vụ xuất sắc, nhân viên thân thiện",positive,2,"dịch vụ xuất sắc, nhân viên thân thiện"
"Dịch vụ tệ, không bao giờ mua nữa",negative,0,"dịch vụ tệ, không bao giờ mua nữa"
"Hàng đẹp, giao nhanh, đóng gói kỹ",positive,2,"hàng đẹp, giao nhanh, đóng gói kỹ"
"Tạm được, giá hơi cao",neutral,1,"tạm được, giá hơi cao"
"Tệ, hàng nhái, không nên mua",negative,0,"tệ, hàng nhái, không nên mua"
"Trải nghiệm tuyệt vời, sẽ giới thiệu bạn bè",positive,2,"trải nghiệm tuyệt vời, sẽ giới thiệu bạn bè"
Rất thất vọng với chất lượng sản phẩm,negative,0,rất thất vọng với chất lượng sản phẩm
"Sản phẩm rất tốt, tôi rất hài lòng",positive,2,"sản phẩm rất tốt, tôi rất hài lòng"
"Không hài lòng, hàng bị hỏng",negative,0,"không hài lòng, hàng bị hỏng"
"Rất thích, shop phục vụ nhiệt tình",positive,2,"rất thích, shop phục vụ nhiệt tình"
"Không hài lòng, hàng bị hỏng",negative,0,"không hài lòng, hàng bị hỏng"
"Sản phẩm rất tốt, tôi rất hài lòng",positive,2,"sản phẩm rất tốt, tôi rất hài lòng"
"Rất thích, shop phục vụ nhiệt tình",positive,2,"rất thích, shop phục vụ nhiệt tình"
"Bình thường, chưa có gì đặc biệt",neutral,1,"bình thường, chưa có gì đặc biệt"
"Thất vọng, không đáng tiền",negative,0,"thất vọng, không đáng tiền"
"Nhận được hàng rồi, đang dùng thử",neutral,1,"nhận được hàng rồi, đang dùng thử"
"Dịch vụ tệ, không bao giờ mua nữa",negative,0,"dịch vụ tệ, không bao giờ mua nữa"
"Rất tệ, giao hàng lâu, hàng lỗi",negative,0,"rất tệ, giao hàng lâu, hàng lỗi"
"Sản phẩm kém chất lượng, không như quảng cáo",negative,0,"sản phẩm kém chất lượng, không như quảng cáo"
"Tệ, hàng nhái, không nên mua",negative,0,"tệ, hàng nhái, không nên mua"
"Sản phẩm rất tốt, tôi rất hài lòng",positive,2,"sản phẩm rất tốt, tôi rất hài lòng"
Giao hàng nhanh và đóng gói cẩn thận,positive,2,giao hàng nhanh và đóng gói cẩn thận
"Rất tệ, giao hàng lâu, hàng lỗi",negative,0,"rất tệ, giao hàng lâu, hàng lỗi"
"Sản phẩm đúng mô tả, đẹp hơn hình",positive,2,"sản phẩm đúng mô tả, đẹp hơn hình"
"Hàng đẹp, giao nhanh, đóng gói kỹ",positive,2,"hàng đẹp, giao nhanh, đóng gói kỹ"
"Vừa vừa thôi, không xuất sắc lắm",neutral,1,"vừa vừa thôi, không xuất sắc lắm"
Đóng gói tốt nhưng sản phẩm chưa dùng,neutral,1,đóng gói tốt nhưng sản phẩm chưa dùng
"Không tốt cũng không tệ, trung bình",neutral,1,"không tốt cũng không tệ, trung bình"
"Tạm được, giá hơi cao",neutral,1,"tạm được, giá hơi cao"
Chất lượng tạm ổn với mức giá này,neutral,1,chất lượng tạm ổn với mức giá này
"Thất vọng, không đáng tiền",negative,0,"thất vọng, không đáng tiền"
"Sản phẩm rất tốt, tôi rất hài lòng",positive,2,"sản phẩm rất tốt, tôi rất hài lòng"
"Dịch vụ tệ, không bao giờ mua nữa",negative,0,"dịch vụ tệ, không bao giờ mua nữa"
Đóng gói tốt nhưng sản phẩm chưa dùng,neutral,1,đóng gói tốt nhưng sản phẩm chưa dùng
"Vừa vừa thôi, không xuất sắc lắm",neutral,1,"vừa vừa thôi, không xuất sắc lắm"
"Giá cả hợp lý, chất lượng tuyệt vời",positive,2,"giá cả hợp lý, chất lượng tuyệt vời"
"Tạm được, giá hơi cao",neutral,1,"tạm được, giá hơi cao"
"Sản phẩm đúng mô tả, đẹp hơn hình",positive,2,"sản phẩm đúng mô tả, đẹp hơn hình"
"Tạm được, giá hơi cao",neutral,1,"tạm được, giá hơi cao"
"Hàng giả, chất lượng kém, rất tệ",negative,0,"hàng giả, chất lượng kém, rất tệ"
"Dịch vụ tệ, không bao giờ mua nữa",negative,0,"dịch vụ tệ, không bao giờ mua nữa"
"Không như mong đợi, quá tệ",negative,0,"không như mong đợi, quá tệ"
"Rất tệ, giao hàng lâu, hàng lỗi",negative,0,"rất tệ, giao hàng lâu, hàng lỗi"
"Vừa vừa thôi, không xuất sắc lắm",neutral,1,"vừa vừa thôi, không xuất sắc lắm"
"Tạm được, giá hơi cao",neutral,1,"tạm được, giá hơi cao"
"Rất tệ, giao hàng lâu, hàng lỗi",negative,0,"rất tệ, giao hàng lâu, hàng lỗi"
"Rất đáng tiền, chất lượng tốt",positive,2,"rất đáng tiền, chất lượng tốt"
"Dịch vụ tệ, không bao giờ mua nữa",negative,0,"dịch vụ tệ, không bao giờ mua nữa"
"Sản phẩm đúng mô tả, đẹp hơn hình",positive,2,"sản phẩm đúng mô tả, đẹp hơn hình"
"Dịch vụ tệ, không bao giờ mua nữa",negative,0,"dịch vụ tệ, không bao giờ mua nữa"
"Hàng đẹp, giao nhanh, đóng gói kỹ",positive,2,"hàng đẹp, giao nhanh, đóng gói kỹ"
Đóng gói tốt nhưng sản phẩm chưa dùng,neutral,1,đóng gói tốt nhưng sản phẩm chưa dùng
"Tạm được, giá hơi cao",neutral,1,"tạm được, giá hơi cao"
"Nhận được hàng rồi, đang dùng thử",neutral,1,"nhận được hàng rồi, đang dùng thử"
"Không như mong đợi, quá tệ",negative,0,"không như mong đợi, quá tệ"
"Giao sai hàng, phục vụ kém",negative,0,"giao sai hàng, phục vụ kém"
"Giá cả hợp lý, chất lượng tuyệt vời",positive,2,"giá cả hợp lý, chất lượng tuyệt vời"
"Sản phẩm rất tốt, tôi rất hài lòng",positive,2,"sản phẩm rất tốt, tôi rất hài lòng"
Giao hàng nhanh và đóng gói cẩn thận,positive,2,giao hàng nhanh và đóng gói cẩn thận
"Vừa vừa thôi, không xuất sắc lắm",neutral,1,"vừa vừa thôi, không xuất sắc lắm"
"Tệ, hàng nhái, không nên mua",negative,0,"tệ, hàng nhái, không nên mua"
"Không hài lòng, hàng bị hỏng",negative,0,"không hài lòng, hàng bị hỏng"
"Trải nghiệm tuyệt vời, sẽ giới thiệu bạn bè",positive,2,"trải nghiệm tuyệt vời, sẽ giới thiệu bạn bè"
"Sản phẩm như mô tả, không có gì nổi bật",neutral,1,"sản phẩm như mô tả, không có gì nổi bật"
"Sản phẩm bình thường, tạm được",neutral,1,"sản phẩm bình thường, tạm được"
"Thất vọng, không đáng tiền",negative,0,"thất vọng, không đáng tiền"
"Sản phẩm kém chất lượng, không như quảng cáo",negative,0,"sản phẩm kém chất lượng, không như quảng cáo"
"Sản phẩm bình thường, tạm được",neutral,1,"sản phẩm bình thường, tạm được"
"Tệ, hàng nhái, không nên mua",negative,0,"tệ, hàng nhái, không nên mua"
"Sản phẩm bình thường, tạm được",neutral,1,"sản phẩm bình thường, tạm được"
"Vừa vừa thôi, không xuất sắc lắm",neutral,1,"vừa vừa thôi, không xuất sắc lắm"
"Trải nghiệm tuyệt vời, sẽ giới thiệu bạn bè",positive,2,"trải nghiệm tuyệt vời, sẽ giới thiệu bạn bè"
